Municipality,Latitude (generated),Longitude (generated)
Zwolle,"52,5148","6,0975"
Zwijndrecht,"51,8243","4,6144"
Zwartewaterland,"52,6088","6,045"
Zutphen,"52,1293","6,2424"
Zundert,"51,4862","4,6488"
Zuidplas,"51,9988","4,6139"
Zoeterwoude,"52,1106","4,5068"
Zoetermeer,"52,0623","4,4877"
Zevenaar,"51,9551","6,0732"
Zeist,"52,1155","5,2529"
Zeewolde,"52,348","5,4389"
Zandvoort,"52,3583","4,5432"
Zaltbommel,"51,7817","5,1902"
Zaanstad,"52,4694","4,7741"
Woudenberg,"52,0805","5,4118"
Wormerland,"52,5056","4,8597"
Woerden,"52,1133","4,8951"
Woensdrecht,"51,4122","4,327"
Winterswijk,"51,9674","6,7374"
Wijk bij Duurstede,"51,9894","5,3279"
Wijdemeren,"52,2254","5,0903"
Wijchen,"51,8202","5,6962"
Wierden,"52,3432","6,5434"
Westvoorne,"51,8902","4,0916"
Weststellingwerf,"52,8717","6,0081"
Westland,"51,9979","4,2009"
Westerwolde,"53,0141","7,1202"
Westervoort,"51,9591","5,9682"
Westerveld,"52,8268","6,3126"
Westerkwartier,"53,2132","6,3293"
West Maas en Waal,"51,8521","5,4981"
West Betuwe,"51,8616","5,2091"
Weesp,"52,3016","5,0589"
Weert,"51,2358","5,7049"
Waterland,"52,455","4,9989"
Wassenaar,"52,1388","4,3762"
Wageningen,"51,9687","5,6682"
Waddinxveen,"52,0446","4,642"
Waalwijk,"51,6845","5,018"
Waalre,"51,3858","5,466"
Waadhoeke,"53,2231","5,6125"
Vught,"51,655","5,271"
Voorst,"52,2372","6,0864"
Voorschoten,"52,1264","4,4419"
Voerendaal,"50,8725","5,9139"
Vlissingen,"51,4601","3,6022"
Vlieland,"53,256","4,9551"
Vlaardingen,"51,9236","4,3296"
Vijfheerenlanden,"51,9361","5,0566"
Venray,"51,5091","5,9587"
Venlo,"51,3927","6,1498"
Velsen,"52,4497","4,6211"
Veldhoven,"51,4078","5,3929"
Veere,"51,529","3,513"
Veenendaal,"52,0237","5,5518"
Veendam,"53,0804","6,8769"
Valkenswaard,"51,3202","5,4582"
Valkenburg aan de Geul,"50,8606","5,813"
Vaals,"50,7783","5,9811"
Utrechtse Heuvelrug,"52,0286","5,3947"
Utrecht,"52,0832","5,0988"
Urk,"52,6661","5,6241"
Uithoorn,"52,2337","4,797"
Uitgeest,"52,5236","4,7376"
Uden,"51,6632","5,6505"
Tytsjerksteradiel,"53,2054","5,9748"
Tynaarlo,"53,1122","6,5598"
Twenterand,"52,4394","6,6353"
Tubbergen,"52,4053","6,7737"
Tilburg,"51,5836","5,0638"
Tiel,"51,8873","5,4133"
Tholen,"51,5716","4,1145"
Teylingen,"52,2174","4,5113"
Texel,"53,0838","4,818"
Terschelling,"53,3968","5,2891"
Terneuzen,"51,2839","3,8398"
Súdwest-Fryslân,"53,0012","5,5688"
Stichtse Vecht,"52,2029","4,9949"
Stein,"50,9728","5,7606"
Steenwijkerland,"52,7478","6,0234"
Steenbergen,"51,6013","4,3094"
Stede Broec,"52,6986","5,2255"
Staphorst,"52,6383","6,2092"
Stadskanaal,"52,9964","7,0012"
Son en Breugel,"51,5171","5,4923"
Someren,"51,3848","5,6891"
Soest,"52,1546","5,2948"
Smallingerland,"53,1152","6,0506"
Sluis,"51,3241","3,5178"
Sliedrecht,"51,832","4,7701"
Sittard-Geleen,"51,0077","5,8368"
Sint-Michielsgestel,"51,6507","5,3654"
Sint Anthonis,"51,6216","5,841"
Simpelveld,"50,8308","5,9847"
Schouwen-Duiveland,"51,6862","3,9202"
